Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	1_01	1_02	1_03	1_04	1_05	1_06	1_07	1_08	1_09	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	1_21	1_22	1_23	1_24	1_25	1_26	1_27	1_28	1_29	1_30	1_31	1_32	1_33	1_34	1_35	1_36	1_37	1_38	1_39	1_40	2_01	2_02	2_03	2_04	2_05	2_06	2_07	2_08	2_09	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	2_21	2_22	2_23	2_24	2_25	2_26	2_27	2_28	2_29	2_30	2_31	2_32	2_33	2_34	2_35	2_36	2_37	2_38	2_39	2_40	3_01	3_02	3_03	3_04	3_05	3_06	3_07	3_08	3_09	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	3_21	3_22	3_23	3_24	3_25	3_26	3_27	3_28	3_29	3_30	3_31	3_32	3_33	3_34	3_35	3_36	3_37	3_38	3_39	3_40	4_01	4_02	4_03	4_04	4_05	4_06	4_07	4_08	4_09	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	4_21	4_22	4_23	4_24	4_25	4_26	4_27	4_28	4_29	4_30	4_31	4_32	4_33	4_34	4_35	4_36	4_37	4_38	4_39	4_40	5_01	5_02	5_03	5_04	5_05	5_06	5_07	5_08	5_09	5_10	5_11	5_12	5_13	5_14	5_15	5_16	5_17	5_18	5_19	5_20	5_21	5_22	5_23	5_24	5_25	5_26	5_27	5_28	5_29	5_30	5_31	5_32	5_33	5_34	5_35	5_36	5_37	5_38	5_39	5_40	6_1	6_2	6_3	6_4	6_5	6_6	6_7	6_8	6_9	6_10	6_11	6_12	6_13	6_14	6_15	6_16	6_17	6_18	6_19	6_20	6_21	6_22	6_23	6_24	6_25	6_26	6_27	6_28	6_29	6_30	6_31	6_32	6_33	6_34	6_35	6_36	6_37	6_38	6_39	6_40	7_1	7_2	7_3	7_4	7_5	7_6	7_7	7_8	7_9	7_10	7_11	7_12	7_13	7_14	7_15	7_16	7_17	7_18	7_19	7_20	7_21	7_22	7_23	7_24	7_25	7_26	7_27	7_28	7_29	7_30	7_31	7_32	7_33	7_34	7_35	7_36	7_37	7_38	7_39	7_40	8_1	8_2	8_3	8_4	8_5	8_6	8_7	8_8	8_9	8_10	8_11	8_12	8_13	8_14	8_15	8_16	8_17	8_18	8_19	8_20	8_21	8_22	8_23	8_24	8_25	8_26	8_27	8_28	8_29	8_30	8_31	8_32	8_33	8_34	8_35	8_36	8_37	8_38	8_39	8_40	9_1	9_2	9_3	9_4	9_5	9_6	9_7	9_8	9_9	9_10	9_11	9_12	9_13	9_14	9_15	9_16	9_17	9_18	9_19	9_20	9_21	9_22	9_23	9_24	9_25	9_26	9_27	9_28	9_29	9_30	9_31	9_32	9_33	9_34	9_35	9_36	9_37	9_38	9_39	9_40	10_1	10_2	10_3	10_4	10_5	10_6	10_7	10_8	10_9	10_10	10_11	10_12	10_13	10_14	10_15	10_16	10_17	10_18	10_19	10_20	10_21	10_22	10_23	10_24	10_25	10_26	10_27	10_28	10_29	10_30	10_31	10_32	10_33	10_34	10_35	10_36	10_37	10_38	10_39	10_40
A0A7M7MVA9	A0A7M7MVA9	A0A7M7MVA9_APIME		Putative hydroxypyruvate isomerase	33297.2	11022.1									7952.41	8193.37		965.806	1106.05	1187.48		2367.45	32613.5	206594	144564	73982.5	49715.8	22224.4	43585.1	44941.3	27733.7	32152.9	40110.6	32415.4	42641.8	50538.6	47375.9	37097.8	39114.9	52197.1	48531.7	62318	53286.1	60266.8			1356.71		2956.2					845.094	742.628						369.245	2897.34	50962.5	167837	142810	82942.9	32945.6	43942.9	52554.1	40331	60889.2	33973.4	41115.3	37714.3	44783.5	51629.3	55534.9	42025.3	74915.2	47966.5	75847.1	68237.2	52237.2	54616.5				2918.62				2144.29	53053.5	1196.59			598.947	928.987	565.635		821.423	4651.9	79959.7	137479	121188	74361.4	41569.4	50414.8	40975.9	31371.1	59365	32920.5	73789.8	60027.7	28205.1		33390.4	16591.9	31200.3	73731.2	46667.4	57737.2		71027	5818.53		2402.99							41566.9		803.221	6496.75	1905.92		721.92		937.44		6763.21	73724.1	199675	149001	85054	46204.3	33985.7	39734.8	27998.6	33073.5	37523.9	43156.9	55024.7	40490.4	32705.4	37442.4	55004.5	35670.1	30088	40096.9	47471.2	1032.87	1262.61	1770.6		410.696				448.517	610.043		646.506	427.702	547.233	595.298	714.128	867.101	505.154	2565.59	24555.7	191261	200087	93478.6	52691.2	40019.6	42703.7	31150.1	23587.8	47697.9	40112.7	43367.6	44550.3	41035.7	35986.1	30684.6	41045.2	55340.8	60212.7	59231.6	54713.2	7156.4	6387.36	3553.79	896.826											1173.58	866.189	1015.38	584.364	620.152	792.256	989.174	2159.28	20466.3	120022	158701	113957	52126	42349.4	33044.9	32089.4	28485.7	34569.1	45524.8	40907.9	44894	47455.1	49214.8	56508.6	59146.5	40494.4			6060.67																	8846.4	72207.7	214216	155296	62121.1	38523.6	40627.6	19244.8	9006.6	4927.45	17890.3	34212.7	21032	28870.8	49380.7	33177.3	53915.3	58674.7	58655.9	46551.6	38953					6577.24			2610.57												5633.02	82234	179354	127640	48559.5	27072.4	20491.4	4828.48	10645.3	19157.5	19180.1	20826.7	33349.4	35734.9	38074.8	52554	41094.6	52045.3	34715.1	51127.4	54642.6													9482.23		6591.8		599.923		6485.69	57061.5	260443	177507	75903.5	47024.2	24748	32666.8	68327.3	24986.4	35424.9	39164.1	40846	39417.4	29804	48403.7	44041.6	44149.2	36342.6	49536.6	35818.3	45533.4		2695.35								1412.75					2000.4		840.124	816.998	1939.17	21623.8	210771	169354	112478	56947.2	29516.4	28551.7	32994.4	26892.9	59026.8	39948.5	22868.1	36748.6	51997.1	43440.2	42834.7	49185.3	43109.8	52708.3	52507.9	48489.3
A0A7M7MVK3;A0A7M7MVU8	A0A7M7MVK3;A0A7M7MVU8	A0A7M7MVK3_APIME;A0A7M7MVU8_APIME		PHD-type domain-containing protein																													8174.63	10955.1	10481.6																	1794.92		1526.02		1442.64	1041.36															15112.7	6745.5	14061.4			4301.97																																				4460.06	7776.22						4179.23														4038.92		3301.22		2533.24																	8915.11	9368.08	10586.6	4761.12	6815.24	6839.22				8682.38										1330.74	1310.43	1315.94	1632.13	1555.41		1384.46														10442.7	11968.8	4297.59			6446.44	4591.84																								901.996																																																			13854.4	10732	11656.9																																						8483.01		6030.41																																					7843.15	7638.6																																							10030.1	9849.85									
A0A7M7MVK8;A0A7M7MVV6;A0A7M7MX16;A0A7M7SS29;A0A7M7SS68	A0A7M7MWD2;A0A7M7MX16;A0A7M7MVK8;A0A7M7MVV0;A0A7M7SS29;A0A7M7SS68;A0A7M7MVV6	A0A7M7MVK8_APIME;A0A7M7MVV6_APIME;A0A7M7MX16_APIME;A0A7M7SS29_APIME;A0A7M7SS68_APIME		Uncharacterized protein				20963.3	39641.6	41259.3	15128.2	13298	7091.32	9122.31	12343.3	6646.93	4802.4	5108.61		3473.81						3136.52	2147.27	4941.66	7279.99	11664.4	9462.77	36695.2	72219.1	47865.1	37540.5	12665.5	10621	29616.6	34476	27094	32992.3	23857.2	21037.9	29467.7	24001.2	14040.9	13769.3	21848.2	34285.6	26523.2	14932.2	8384.65	5569.99	7250.32	6693.2	4757.67	3863.66	5142.74	2908.59	1642.06	1005.89	1757.41		305.74		2671.66	5454.07	2945.94	5897.75	12595.5	19881.3	85935.8	34561.9	68788.6	49357.5	35701.8	31795.8	26285.1		20802.1		31718.4	21835.9	25407.2	25350.6		10569.5	9887.52	15925.3	11015.1		6722.34	2970.54	6931.91	5799.15	7597.66	3850.7	3306.09	1236.43	2246.1			4187.65				2258.74	4723.57	16852.7	35114	17750.4	30340.3	20834.4	46667.8	51793.7	69455.9	19458.4		18133.3	14452.2	17816.7	14926		21294.5	52902.6		35702.4	10514.1	33255.1			20036.6	16988.1	15434.7		12857.7	18148.3	6289.63		5151.76		752.376		3268.76		2789.98	4794.66			2722.99		16063.3	26300.4	24410.4	28492.1	55797.2	51249.8	26974.1	32723	34555.5	27214.4	19474.5	21637	22805.9	37600.9	32149.6	15786	13277	18286.3	38915.2	18527.1	9508.72	6092.79	4434.24	4499.25	5745.44	6302.61	4193.94	4618.06	2654.07	2295.93	1417.85	3745.69					2105.79	6414.38	16072.2	77491.1	30773.9	75420.8	74763.5	50597.3	54895.7	41915.2	21123	20009.4	19788.9	19839.3	18257.1	15939.7	14839.8	70532.7	276536	177474	51473.7	41018	19982.8	12102.8	10710.5	76427	60164.1	23895.6	17261.1	12604.7	11423	11440.1	13409.1	10794.5	5876.17	3683.63	1770.69	854.627						6322.48	3269.91	8904.93	25324.6	15661		20745.5	34853.1	43826.2	29848.8	31926.9	20115.9	18024.6	14601.2	34625.5	50858	24326.3	18008.1	8727.24	15907.7		8862.09	11580.8	5767.52	4539	6468.38	9568.51	5887.97	3693.6		7462.6									3910.25	10079.1	48538.7	78536.1	60682.6	25446.4	60076.4	67409.9	46931.1	43667.9	24214.1	14320.3		17425.8	29121.4	36850.5	51293.6	39411.8		19575.2	47211.6	53838.7	32911.6	14728.2	11744.4	10096.5	9723.23	8204.39	5077.78	5827.36	3538.37						7664			4755.29			20935.9	15907	45687	61225.9	82526.8	50075.7	21097.3	33851.8		21691.6		20775	15611.1	40700.3	12926.9			17109.2	43351.6	27753.2	12148.9	4966.26		5212.56	15323.8	19999.6	7851.89	2298.09		2518.9		3060						3999.96	11913.1	12984.6	62569	54254.6	42495.2	50226.8	46937.3	10486.3	16576	19644.9	23924.3	18963.5	17386.4	21521.3	24034.1	20088.8	20167.4	32202.5	10523.8	21375.2	52089.8	34635	17845.1	10932.5	8954.2	7912.83	8290.08	7644.89	3515.53	3437.98	2998.86	3380.45									6532.94	7624.39	15372	16571.1	48894.8	40518.1	64394.5	48595.3	46407.6	20654.6	20697.5	16638.5		13652.2	
A0A7M7MVN3;A0A7M7SRY0	A0A7M7SRY0;A0A7M7MVN3	A0A7M7MVN3_APIME;A0A7M7SRY0_APIME		Uncharacterized protein																																																												765.853																																																																																																							2194.28											1478.19					982.811	726.076																																																													3975.3																																																											748.755	1370.05																																																																																																			
A0A7M7MVP3;A0A7M7MVR5;A0A7M7MWF8	A0A7M7MVP3;A0A7M7MVR5;A0A7M7MWF8	A0A7M7MVP3_APIME;A0A7M7MVR5_APIME;A0A7M7MWF8_APIME		Uncharacterized protein	8017.06																									4532.32																																								6095.36								3466.38		3213.75																																																																						1054.83		26128.6		6344.09					15714.5		6858.73	7366.59																														6119.19						5074.11				9554.01																															1775.67							7633.1			5320																																																																																3781.8																													6874.51					5475.3	6320.7						4152.99																											10867			2756.18	3366.24				3630.83			7387.57		
A0A7M7MVQ7	A0A7M7MWQ0;A0A7M7MVZ1;A0A7M7IS90;A0A7M7GQ66;A0A7M7MVQ7;A0A7M7GQQ0	A0A7M7MVQ7_APIME		Uncharacterized protein																				328.765	177.633																																					268.392	108.642																																							172.411																																																																																				116.92																																							322.981	180.95	206.228																																																																														142.441																																								183.636																																								204.754																			
A0A7M7MVQ9	A0A7M7MVQ9	A0A7M7MVQ9_APIME		Armadillo repeat-containing protein 8																																									3912.08	9150.34	2925.95		3935.62	5587.04	4495.75	4319.51	3915.09	4352.79	10645.2	11192.3	11847	5863.22	2322.69	935.907																									7341.37		3514.83	3050.27	1719.65	2717.8			1787.63	2083.79	2266.81	2695.21	2803.05	1711.93	1039.87																										18368.2								3122.59			1595.44	2092.29	2458.61																											10342.5	9598.85	7845.64	5705.86	4183.23	3327.42	5733.48	3679.46	3507.07	2091.42	3378.28	6195.2	14467.2	7218.55	4401.29	2722.69	1353.49																									8875.08																																							8229.51	8206.29	9697.55	9896.25					2823.63	2346.04		2617.42			2014.35																																					3025.4		3929.94	2784.33																																																																												1538.16	997.465																												
A0A7M7MVS7	A0A7M7MVS7	A0A7M7MVS7_APIME		Uncharacterized protein																	1494.72	1039.26	942.543	1218.42	882.542				2060.44																																1531.45	1832.63	1002.4																																					1320.38	3315.84	2147.95	1533.05	709.043																																						1290.83		1682.89	3167.57																																					2081.08	3665.71	1480.68	1376.17																																								1871.99	3122.9	1558.14	1260.89	368.993																										7497.21								2509.65	2164.71																																							3289.28	1936.18																																						1913.96	2624.38	1423.52																																						1630.19	2125.82	1139.51																				
A0A7M7MVW4	A0A7M7MVW4;A0A7M7MXR6;A0A7M7MW68;A0A7M7SS52;A0A7M7SS90	A0A7M7MVW4_APIME		Uncharacterized protein	21582.6	18499.4	10482.8		28885	24250.2	16535.3	21050.6	23030.7	31418	14989.9	12048.7	18385.5	14813.6	11593.5	8096.3	4606.04	2720.48	2529.7	5725.33	5929.93	7705.85	4490.46	8517.44	5373.26		111432	144852	100214	103089	50411.2	12272.4	22726.9	46228.4	56522.4	39712	34840.5	46640.4	38187	42899.9	65393.6	48253.2	41265.2	34516.7	24165	23281	19632.2	20985.8	15230.7	16320.8	11871.9	10362.5	12010.2	10414.6	6892.77	3751.7	4214.56	3394.58	2607.53	3887.49	3639.13	6092.83	3799.27	6827.66	9336.61	28603.2	87191.6	228236	33336.2	77824.9	82969.9	39879	27870.6	31252.6		32315.5			31098.6	31128	45699.4	62783.8	32298.3	32000.2	22430.2	19647.5	19836.1	24564.8	19056.8	17750	11067.1	13497.4	16626.4	14259.8	9544.75	5199.67	4398.5	4007.17	3741.14	3510.96	2054.56	5296.96	4106.14	6481.05	20461.6		58226.6	137679	50829.4	33827.5	65087.7	51591.2	47930.4		22646.2	23801.1	29018.9	36806.6		31651.3	67659.7		57056.7	38967.5	41122.9			24729.1	31727.5	31553.5		21256.4	17209.5	15699.4	18720.4	10535.7	6360.94	5060		5989.14	6176.11	3911.96	7022.46	7263.66	6520.39	4111.97	18842.5	11996.8	91881.5	128834	153118	91338.2	50129.8	25585.6	54084.4	57366.9	37865.4	13912.5	30960.3	48319	61037.5	62272.4	55569.8	49090.2	37409.9	31977.5	25921.7	24960.8	24306.5	18578.8	14541.9	10699.9	12843	15188.9	11778.2	8300.68	5017.99	4412.22	6384.31	3257.92	4196.45	4259.6	4837.68	4264.63	4855.38	9420.79	15434.6	19934.2	41721.5	81158.8	66384	46175.9	54504.9	42359.3	36948.3	32685.6	35127.6	26741.8	28660.7	26102.6	86347.8	90324.4	78327.9	52231.8	55230.6	50981.7	42258.4	39498.1	42620.6	33745.5	27887.2	28414.2	30848.4	43722.6	33151.7	25695.3	32930.3	27219.1	13449.6	8143.19	6342.36	5390.68	3441.47	5002.03	4933.37	5508.17	5637.66	5570.52	8012.78	6088.51	15808.4		101465	44896.6	38084	33190.6	39106.5	29520.4	27963.5	31657.4	43677.3	44625.2	48899.7	39925.7	36024.4	32243.3		18756.8	21619.1	18398.9	17466.3	13204.6	13538	17391	15371.3	15101.2	7232.16	5192.1	13329.5	20406.6	10085.1	3638.19	5459.87	7366.35	5872.24	5693.07	15872		97790.1	232193	122314	110739	90750.5	53461	57870.8	45854.1	57759.5		53325	81773.1	60364.2	54289	46315.5	36645.6	46283.8	32027.3	23757.6	24507.3	25978.1	22667.8	24341.9	22531.2	12830.7	12897.4	12139.7	9735.1	7197.94	7203.04	10113.5	5956.19	4189.11	8102.65	9805.56	19556.9	15686	7182.52	19556.8	46367.4	130917	160126	132080	69361	89700.8	46596.6	85880.5		63968.9		32235.2	33861.3	41041.6	40590.2				44042.8	10886.3	14821.7	22447.5	33412.3	41723.6	23376.2	19195.9	22751.7	17916.4	9536.92	6979.3	4865	5201.51	3769.14	5374.01	6246.58	9138.71	6853.16	6060.97	6139.15	6824.86	96905	135563	104814	107942	32864.4	15450.5	34749.8	41944.3	60202.5	48933.3	55774.1	55320.2	70666.8	35057	34603.1	29451.1	32223.2	35793.3	30591	19736.3	19310.4	21832.6	21518.9	22073.4	15307.3	12906.4	15805.1	14007.1	9296.31	6876.99	5024.31	5562.94	4823.22	5161.39	3095.68	3942.77	7817.99	8897.48	7125.56	4147.22	27892.2	35022.8	122064	83392.9	73479.9	60152.7	68374.2	38311.1	48566.7	44088.8	22485.3	19781.2	16091.5
A0A7M7MW05;A0A7M7MWI7	A0A7M7MW05;A0A7M7MWI7	A0A7M7MW05_APIME;A0A7M7MWI7_APIME		TFIID_NTD2 domain-containing protein	6165.37				2641.89					3492.43	3863.9	4999.6	13088.9	84242.2	93077.5	26745.7	12708	6529.3	2603.78			1584.81																													2102.23	3009.52	14243	56479.7	55069.3	25639.4	15655.6	8355.12	1800.86																																2902.94	4405.69	12160.6	53520.5	40672.1	16208.3	10656.7	3028.17																																			4390.93			67633.6	27554.6	15092.3		3523.05																															2452.21	1909.63	2672.27	8003.36	35161.8	54227.6	24649	14966.9	8164.51	2458.17																																3230.84		3063.63	4012.19	5706.13	8041.42	42087.8	84361.4	33346.6	9138.27	7968.31	3388.99	1033																											1924.91		3461.58	4506.86	25192.3	92398.8	42182.8	6523.16	5606.36																										8138.96									5590.83	55105.1	53464.9	10838.6	24025	15643.7	11525.8																																4112.26	4902.76	8863.05	59581.9	59752.8	19271.1	6878.47	5840.55	1976.82																									14622.4									5263.84	51338.3	68038	3080.14	13541.6	6336.01	2912.98																				
A0A7M7MW16	A0A7M7IE99;A0A7M7GLF8;A0A7M7MW16	A0A7M7MW16_APIME		MFS domain-containing protein	75658.7	54756.4	41655	39815.3		11353.1	17573.2	21143.7	17693.6	18385.6	13334.7	11735.7	9060	5128.33	5536.1	3692.44	2403.93			1622.5	1555.09	2869.29	9355.22		7203.81	2770.57	8867.4	20747.5	9484.43	13393.9	19944.1	8126.19	8789.59	19603.2	8450.78	12444.6	28066.9	8731	45479.1	10275.3									2506.12																		16072.5	24561.8	8596.77	12927.7	12814.6	13277.6									15560.5		18516.2	10339.5	9518.63	8025.31		6582.59	4828.27	4667.39	2844.81	3773.18	3300.87	2579.55													3555.04	24948		14685.6	16965.1		9309.83		9624.57	9554.47	7786.03	10141		10571.2	23581.8								5760.88			5083.39	5524.41																8890.79	28980.9	46882.4	24359.3	16105.1	7107.64	9285.43	13282.1	8924.25	4176.68	7589.63	8794.12		6498					5008.48	2885.91																				4975.76	34279.8	70088.6	20655.8	21588.4	13447.8	11343.2	14377	8282.48	8582.32	11110.6	9860.68	8307.07	60954.4	49354.6	67171	37205.4		10030.4	15339.4	7525.7				7934.83	7512.31		4898.79	4195.62	4977.1																11866	11870.2	17190.1	10085.1							13694.2																					3705.38					5975.12	33575.7	70060.5	123759	27665.9	18629.6	15370.8	17875.6	9262.34		12955.1	14059.9	47205.1																											3042.07	24397.1	19720.8	20680.7	8743.3	7770.6	4475.4					8851.92			10287.6																										2399.03	23989.6	55797.6	43342.3	30325.3	8273.04	15983.3	14294.9	13061.2	15943.4	13756.9	10430.8	16552.7	14603.4								4462.43		4711.27																		7505.75	24683.2	20000.2	16959.7	25947.9	12443.2	6934.69	13026.1	14576.1		9031.59	11382.1
A0A7M7MW93;A0A7M7MWH2	A0A7M7MWH2;A0A7M7MW93	A0A7M7MW93_APIME;A0A7M7MWH2_APIME		Uncharacterized protein																																																	3822.15	12616.5	20382.2																																			1361.94																																																																											1698.78						1726.36	2437.38	2310.09				768.586			2422.52																																																																	2622.21		4535.15																																																																																																																																																													
A0A7M7MWA8;A0A7M7MWC6;A0A7M7MWC8	A0A7M7MWC8;A0A7M7MWA8;A0A7M7MWC6	A0A7M7MWA8_APIME;A0A7M7MWC6_APIME;A0A7M7MWC8_APIME		Delta-1-pyrroline-5-carboxylate synthase		2703.15																497.244	358.565			10154.8											15726.1	24012.7	9922.12	14888.5	16578.7		12567.7	8590.57	19951	21718.8	13318.8	9351.99	14533.6	11574.8	19272.1	11143.9	8639.49	7368.84	5253.68	4876.03	2761.17	2745.85	1977.26	1304.25	10261.1	27446.4	19236.9	10000.5	4588.57	2741.42						8772.72	5213.9	45615.6	299590	593739	274549					216225	96025.7		28030.4		15819.1	22009.7	19963.2	15862.9		12823.8	2919.22	2040.55	1421.84	2263.14	1226.72	1131.84		3042.94	2183.01	4088.25	2814.51	895.91								1678.87	1668.75	8929.6	8752.74		244675	19502.6	111093	87522.3	165546	108582		83784.6	16364		13104.8	7236.5				2995.27	4872.39				1970.7					694.711		25084.1	11634.9	5635.99	4780.13	5295.76	2377.93	1732.19		1070.6	2972.28	7921.6	9641.95	7096.38	40626.3	77206.4	244851	65653.3	120460	52423.4	92137.5	118603	4506.11	4477.34	7593.93	4781.13	3127.06	3957.27	5465.23	8028.91	2709.57	7289.61	3949.47	1639.37	1765.81	2656.56	2025.21	1728.13	1890.08	5720.7	21509.3	20136	7576.95	3157.8	2182.13	2124.3	1105.33	1309.32	1207.06		3449.33	18763.1	7337.01	34245	123489	229669	184291	244034	179372	178730	140791	85265.5			77586.7		27781.2	5264.15							1918.98	1744.54				1352.97		955.023	848.004	5042.96	2436.24	1165.47	576.806			4374.73							3423.32		7953.38	5768.28		4304.3	27413.6	18460.9	12455.1			5591.31		10399.8	15831.1	14145.1	7012.96	3518.74	3703.26	13943.9	2588.07			2635.25	6759.47	15579.9	13105	4635.72	3873.09		102455							11749.7	14719.5	9114.32	142104	69857.5	39852.4		97531.6	62346.2	27905.9		11798.4		18711.9					4892.85								2955.18	8097.32	12816.2	7626.99		24000.2	31160						3132.55		13745.9	145076	284745	209258		181760	101525	92755.7										2768.17			7895.67								406.47												6259.74		76495.4	50755.3	21140.3	45622.9	73243.8	48103.3	25250.4								3907.89			2455.58						1557.46	3493.73	6453.98	6758.01	3316.17									2873.53	4362.36	38101.6	207136	770203	432505	320819			187379	240226
A0A7M7MWM4;A0A7M7MWM9;A0A7M7MWP8;A0A7M7MWR4	A0A7M7MYH5;A0A7M6UCZ4;A0A7M7MWP8;A0A7M7MXL6;A0A7M7MWT7;A0A7M7MWM4;A0A7M7MWR4;A0A7M7MWM9;A0A7M7MX00	A0A7M7MWM4_APIME;A0A7M7MWM9_APIME;A0A7M7MWP8_APIME;A0A7M7MWR4_APIME		Uncharacterized protein										2679.16	4617.81	5541.79	9623.6	9203.2	6311.88	5956.36	4176.68	5926.68	7798.44	6407.94	3863.03	2797.02	3446.93	3257.86			202199	233437	171267	175030	114960	56365.4	86551	118108	30552.9	59271.2	10595.4	124202		36397.3									4947.38	5453.43	9970.25	23756.7	31157.5	18194.5	11043.3	6292.51	4605.13	6547.11	7666.16	6296.43	3264.34	1939.53	2763.97	1774.71	18853.9	78902.4	97436.1	89894.1	58374	132711	105958	98063.5		60688.9																5242.98	2223.53	3378.94	4146.11	3955.63	3974.48	3096.32	3947.25	7361.95	18331.9	5919.07	4602.72	4094.91	3986.58	3925.97				48826.3	23875.4	62524.7							63265.1	53777.4														6192.46	8163.96	12271.5		7390.04	3179.76	7141.9		10594.4	7292.6	9334.94	4112.24	3431.62	3379.94	2880.6		9264.48			74385.8						81239.9	28897.5	73914.5	50338							3789.71			2534.55	3855.41	5075.85	8858.45	14826.9	9539.97	5175.09	4342.56	4584.78	7234.4	13671.8	14063.5	4582.27	4338.61	3651.89	3235.63				38347.8	84602.5					4521.08	25468.6			15624.6														3241.96	6866.4	10438.7	16212.4	37852.2	30695.1	12699	9510.79	6781.2	5078.35	6260.81	6150.51	3295.32	1742.17	2289.55	1631.51													10284										6819.95	5002.88	5740.36	11883.4	11827	8720.66	5677.23	5266.33	4764.56	11772.6	16061.9	13553.9	6706.22	3552.14	5355.84	4196.43					93278.7						33030.6		52087.7												6810.55	11598.4	20150.8	40709.6	36172.1	17973.9	9357.46	8126.17	6018.51	5313.12	8878.31	5682.11	4556.27	3044.35				97385.4	104314	119408	117643	114669	135969	53521.3	121838				66295															9841.05	8748.98	5736.94	3863.26	4808.31	7300.43	11731.3	12625.3	5399.29	4087.59	2412.41	2622.95		1717.62		52842.5	86007.7	112879	73729.7	3562.7			73759.6	82236.5	109486	106819	75098.6											3400.66	6894.8	18430.2	34467.6	21300.7	9006.8	9334.05	8321.94	6267.63	11593.6	11736.6	5154.13	4631.99	4645.34	2392.46		4063.11	22006.9	13585	154712				109212	98548.3	121665	74578.8			68403.6
A0A7M7MWQ5	A0A7M7MWQ5;A0A7M7MWN8	A0A7M7MWQ5_APIME		Uncharacterized protein					19098.2	10522	8265.91	4591.17	8756.47	7472.5	9932.05	15666.3	18413.9	14495.7	5844.91	2728.28												8218.17	39965	117168	84804.6	18032.4	29559.9	44312.7	24898.5	40950.2	33987.8	33387.6	34211.3	25911.9	22982.3	24395.9	21177.9	42105.5	74014.4	68447.6	46741	41551.3	48240.3	69196.2	55708.7	55730.6	32168.8	17489.2	9267.64	5684.38	6038.85	4773.21	5894.23	2540.5	5140.06		3672.79			7743.28		20941.9	43916.5	167217	138491	109000	80107.5	69645.6		76845		78170.8	80770.9	63239.6				9311.63	16882	14184.1	8063.6	9647.22	5382.55	6784.01	14048.1	36250.8	23046.4	19427.3	4877.52			1915.79												62441.4	56116.6	44113.8	57506.2	141199	68877.1	65259	59199.9	64308.7		55487.1	26846		25139.8	80645	64499.9	269315		83865.9	57792.7	51343.2		65428.3	147710	91161.9	11527.7	21015.6	24028.9	3321.97		3842.85	4893.38	2671.8								4555.03	23680.5	136382	64905.7	48866	86364.1	138789	110275	52829.2	86011	95940.9	4317.94	5033.9	6135.91	10077.7	25934	68385.8	54912.6	23550.3	17903.8	12561.7	14415.8	23014.3	52500.7	43772.4	29271.6	9935.64	3206.35	2307.94	3962.17		3500.06	2967.35			3520.51						19447.2	61346.4	56783	64795.3	91178.3	68246.2	74166.6	76752	71060.7	59221.7	17761.3	9558.97	11870.9	10817.1		6335.45		16813.6	166417	224502	125370	70880.4	100405	229139	197898	122780	127291	72465.4	31939.8	11672.6	3042.28	2704.24	1363.94	7909.3	11185.3	3743.35							18768.6	89065.6	80613.6	55828.3	59678.1	51759.8	56225.4	64412.7	31657.9		10396		5482.36	12544.2		16728.8	9317.96	6928.91	6341.25	8993.72	23597.4	30055.5	23300	9863.8	3847.38	3568.01														48767.8	105240	56946.2	125383	87266.3	42243.8		97454.2	124949	19149.2	16571	8618.57	21454.8	58193.5	141547	101308	113659	74952.7	72600.9	92410.2	93408.5	79590.8	45849	36407.6	20260.7	4934.69	11504.1	3249.36		7064.16									17075.4	95599.8	244430	117021	52498.2	121316	113838	120689	182559	82030.8	86369.3							19608.3	13885.4	11804.9	14380	11602.3	16809.3	49324	38100.5	32892.6	9700.71	14892														49800	58419.9	20775.3	44873.8	58715.4	30622.2	61684.4	67474.3	65563.5	60775.6		11727.6	19715.5	39849.4	70933.2	135599	105700	79998.7	53161.9	49731.4	61294.6	64796.3	99940.9	56651.2	42262.7	19440.1	5919.04	2745.28	1156.66	789.341	1602.34			2022.2						23389.2	75516.3	172891	136398	128853	112094	93059.5	107375	42580.7	69541.3	77881.9
A0A7M7MWS2;A0A7M7MWU8	A0A7M7MWU8;A0A7M7MWS2	A0A7M7MWS2_APIME;A0A7M7MWU8_APIME		DNA helicase																												6135.36																																							6042.56	9585.14																																							7370.16	21142	4095.73							3796.47																																	5766.88	14825.3	6658.06																																						14640.3	8692.97	3745.09																																											7526.88																																			8506.24	28329.9							4872.23																																																																							2872.69	6943.05																																																			
